company,period_end,revenue,cogs,accounts_receivable,inventory,accounts_payable,operating_cash_flow,capex,avg_accounts_receivable,avg_inventory,avg_accounts_payable,dso,dio,dpo,ccc,free_cash_flow,revenue_growth_pct,ccc_change_days,cash_effect
3M,2022-12-31,26161000000.0000,15853000000.0000,4532000000.0000,5372000000.0000,3183000000.0000,5591000000.0000,1749000000.0000,4532000000.0000,5372000000.0000,3183000000.0000,63.2308,123.6851,73.2855,113.6304,3842000000.0000,,,
3M,2023-12-31,24610000000.0000,14983000000.0000,3601000000.0000,3944000000.0000,2776000000.0000,6680000000.0000,1615000000.0000,4066500000.0000,4658000000.0000,2979500000.0000,60.3118,113.4733,72.5834,101.2016,5065000000.0000,-5.9287,-12.4288,-838005353.5152
3M,2024-12-31,24575000000.0000,14447000000.0000,3194000000.0000,3698000000.0000,2660000000.0000,1819000000.0000,1181000000.0000,3397500000.0000,3821000000.0000,2718000000.0000,50.4613,96.5367,68.6696,78.3284,638000000.0000,-0.1422,-22.8732,-1540026462.6032
3M,2025-12-31,24948000000.0000,14991000000.0000,3533000000.0000,3661000000.0000,2702000000.0000,2306000000.0000,910000000.0000,3363500000.0000,3679500000.0000,2681000000.0000,49.2095,89.5883,65.2768,73.5209,1396000000.0000,1.5178,-4.8075,-328595794.2574
Caterpillar,2022-12-31,59427000000.0000,41915000000.0000,17869000000.0000,16270000000.0000,8689000000.0000,7766000000.0000,2599000000.0000,17869000000.0000,16270000000.0000,8689000000.0000,109.7512,141.6808,75.6647,175.7673,5167000000.0000,,,
Caterpillar,2023-12-31,67060000000.0000,43797000000.0000,18820000000.0000,16565000000.0000,7906000000.0000,12885000000.0000,3092000000.0000,18344500000.0000,16417500000.0000,8297500000.0000,99.8470,136.8219,69.1506,167.5183,9793000000.0000,12.8443,-8.2490,-1515550439.0092
Caterpillar,2024-12-31,64809000000.0000,41485000000.0000,18847000000.0000,16827000000.0000,7675000000.0000,12035000000.0000,3215000000.0000,18833500000.0000,16696000000.0000,7790500000.0000,106.0690,146.8974,68.5436,184.4228,8820000000.0000,-3.3567,16.9045,3001542156.8865
Caterpillar,2025-12-31,67589000000.0000,46111000000.0000,21569000000.0000,18135000000.0000,8968000000.0000,11739000000.0000,4286000000.0000,20208000000.0000,17481000000.0000,8321500000.0000,109.1290,138.3740,65.8703,181.6327,7453000000.0000,4.2895,-2.7901,-516665398.3758
Deere,2022-10-31,51282000000.0000,35552000000.0000,6410000000.0000,8539000000.0000,3894000000.0000,4699000000.0000,3788000000.0000,6410000000.0000,8539000000.0000,3894000000.0000,45.6232,87.6669,39.9783,93.3118,911000000.0000,,,
Deere,2023-10-31,60248000000.0000,37942000000.0000,7739000000.0000,8219000000.0000,3467000000.0000,8589000000.0000,4468000000.0000,7074500000.0000,8379000000.0000,3680500000.0000,42.8594,80.6055,35.4062,88.0587,4121000000.0000,17.4837,-5.2531,-867094284.3354
Deere,2024-10-31,50518000000.0000,31023000000.0000,5392000000.0000,7199000000.0000,2698000000.0000,9231000000.0000,4802000000.0000,6565500000.0000,7709000000.0000,3082500000.0000,47.4367,90.7000,36.2670,101.8696,4429000000.0000,-16.1499,13.8109,1911506943.7102
Deere,2025-10-31,44665000000.0000,28370000000.0000,5386000000.0000,7508000000.0000,2985000000.0000,7459000000.0000,4228000000.0000,5389000000.0000,7353500000.0000,2841500000.0000,44.0386,94.6079,36.5579,102.0887,3231000000.0000,-11.5860,0.2190,26804782.2128
Honeywell,2022-12-31,35466000000.0000,22347000000.0000,7440000000.0000,5538000000.0000,6329000000.0000,5274000000.0000,766000000.0000,7440000000.0000,5538000000.0000,6329000000.0000,76.5691,90.4538,103.3734,63.6495,4508000000.0000,,,
Honeywell,2023-12-31,33009000000.0000,20637000000.0000,7530000000.0000,6178000000.0000,6849000000.0000,5340000000.0000,741000000.0000,7485000000.0000,5858000000.0000,6589000000.0000,82.7661,103.6086,116.5375,69.8371,4599000000.0000,-6.9278,6.1876,559581598.5338
Honeywell,2024-12-31,34717000000.0000,21360000000.0000,7247000000.0000,5884000000.0000,6109000000.0000,6097000000.0000,871000000.0000,7388500000.0000,6031000000.0000,6479000000.0000,77.6796,103.0578,110.7132,70.0242,5226000000.0000,5.1743,0.1871,17792514.0241
Honeywell,2025-12-31,37442000000.0000,23613000000.0000,7621000000.0000,6162000000.0000,6315000000.0000,6408000000.0000,986000000.0000,7434000000.0000,6023000000.0000,6212000000.0000,72.4697,93.1010,96.0225,69.5482,5422000000.0000,7.8492,-0.4760,-48824550.5375
